,contriblanguage,contribtype,thematicarea,title,author,abstract,keywords,subtitle,num_authors,npages
1311,Spanish,Informe invitado,AEC. Astrof\'isica Extragal\'actica y Cosmolog\'ia,En la b\'usqueda de los modos B primordiales en el Fondo C\'osmico de Radiaci\'on,"{'name_000': 'C.G.', 'surname_000': ""Sc\\'occola""}","El modelo cosmológico estándar se basa en la Relatividad General y la
física de partículas para describir la evolución del Universo desde sus
primeros instantes. El Fondo Cósmico de Radiación (FCR) constituye uno
de los pilares observacionales sobre los que se basa este modelo. La
precisión y sensibilidad de las mediciones se ha incrementado
sostenidamente a lo largo de las últimas décadas, logrando acotar los
parámetros del modelo a tal punto que hoy hablamos de esta rama de la
ciencia como Cosmología de precisión. Sin embargo, aún quedan desafíos
observacionales por delante. La polarización del FCR incluye una señal
producida por las ondas gravitatorias primordiales generadas durante el
período inflacionario, una época breve al inicio del Universo, que dio
lugar a una expansión exponencialmente acelerada. Estas ondas
gravitatorias inducen un patrón de polarización particular, conocido
como modos B de polarización, que aún no han podido ser medidos, no solo
por ser una señal muy débil, sino también por estar contaminados por
radiación polarizada de nuestra galaxia. En esta charla, haré una
introducción al estado del arte en esta área, detallando los desafíos
que presenta la búsqueda de los modos B, y los avances tanto
instrumentales como en las técnicas de análisis de datos que han tenido
lugar en los últimos años, en pos de superar dichos desafíos.",{'key_000': ''},,2,1
2151,Spanish,Presentación oral,OCPAE. Objetos Compactos y Procesos de Altas Energ\'ias,Agujeros negros binarios en c\'umulos de poblaci\'on III,"{'name_000': 'G.J.', 'surname_000': 'Escobar', 'name_001': 'M.', 'surname_001': 'Mapelli', 'name_002': 'G.', 'surname_002': 'Iorio'}","Las recientes observaciones de LIGO-Virgo proveen una excelente
oportunidad para investigar las propiedades y canales de formaci\'on de
sistemas progenitores de ondas gravitacionales. Estas ondas se originan
en la coalescencia de dos objetos compactos que pueden provenir de
sistemas binarios que evolucionaron de forma aislada o bien en ambientes
din\'amicamente activos, como c\'umulos estelares, donde existen
diversos canales din\'amicos que pueden impulsar los episodios de
fusi\'on. En esta charla mostramos los resultados de nuestro an\'alisis
demogr\'afico de agujeros negros binarios formados en c\'umulos
estelares j\'ovenes de poblaci\'on III. En particular adem\'as
analizamos las propiedades de aquellos sistemas progenitores de ondas
gravitacionales susceptibles de ser detectadas con instrumentos de
futura generaci\'on. Utilizamos el c\'odigo de s\'intesis poblacional
SEVN acoplado a un c\'odigo de N-cuerpos para simular la evoluci\'on
din\'amica y estelar del c\'umulo. Asimismo, exploramos varios
escenarios que corresponden a c\'umulos de distinta densidad y masa.","{'key_000': 'gravitational waves', 'key_001': 'stars: black holes', 'key_002': 'stars: Population III'}",,6,1
2248,Spanish,Presentación oral,SE. Sistemas Estelares,An\'alisis astrof{\'\i}sico de un nuevo c\'umulo estelar moderadamente viejo ubicado en la regi\'on de la nebulosa Trifid,"{'name_000': 'L.M.', 'surname_000': ""Mor\\'on"", 'name_001': 'F.', 'surname_001': ""Mul\\'e"", 'name_002': 'A.', 'surname_002': 'Teragni', 'name_003': 'F.', 'surname_003': 'Bazzoni', 'name_004': 'A.E.', 'surname_004': 'Piatti'}","En este trabajo reportamos resultados del análisis de una región de la
Vía Láctea ubicada en dirección a la nebulosa Trifid, a partir de datos
fotométricos BVI obtenidos en el Complejo Astronómico El Leoncito (San
Juan, Argentina). Recientemente, autores detectaron en dirección a dicha
nebulosa la existencia de un nuevo cúmulo estelar empleando movimientos
propios, paralajes y fotometría de la base de datos Gaia DR2. El nuevo
cúmulo, denominado XDOCC-08, resultó ser un objeto relativamente joven
ubicado a unos 1.5 kpc del Sol. Nosotros relevamos una región de unos
0.4 grados cuadrados centrada en la nebulosa Trifid y encontramos que
los diagramas color-magnitud obtenidos revelan la presencia de una
secuencia principal joven, correspondiente al cúmulo abierto NGC 6531;
un grupo populoso de estrellas mas débiles, correspondientes a la
población compuesta de estrellas de campo en esa dirección de la visual;
y una secuencia principal evolucionada ubicada entre ambas
características, que corresponde al nuevo cúmulo abierto. A partir de la
forma y posición de dicha secuencia confirmamos que se trata de un
cúmulo abierto proyectado detrás de la nebulosa Trifid moderadamente
viejo.","{'key_000': 'techniques: photometric', 'key_001': 'methods: observational', 'key_002': 'open clusters and associations: general'}",,10,1
2269,Spanish,Presentación oral,AE. Astrof\'isica Estelar,An\'alisis de variabilidad y evoluci\'on de una muestra de supergigantes B,"{'name_000': 'A.', 'surname_000': 'Alberici Adam', 'name_001': 'L.S.', 'surname_001': 'Cidale', 'name_002': 'A.', 'surname_002': 'Christen', 'name_003': 'G.F.', 'surname_003': ""Avila Mar{\\'\\i}n"", 'name_004': 'M.', 'surname_004': 'Kourniotis', 'name_005': 'W.', 'surname_005': 'Glatzel'}","Las supergigantes azules (BSGs) pueden estar en esta fase evolucionando
directamente desde la secuencia principal o desde una etapa previa de
supergigante roja (RSG) en lo que se conoce como un bucle azul. El
límite de masa de una estrella en un bucle azul depende de los procesos
de mezcla y la tasa de pérdida de masa, dos factores críticos en la
evolución estelar que suelen ser modelados con incertidumbre. Esto hace
difícil identificar si las BSGs están en una fase pre o post-RSG
basándose únicamente en su ubicación en el diagrama de Hertzsprung-
Russell. Discriminar entre estas dos opciones es posible estudiando los
modos de pulsación. Sin embargo, su trayectoria evolutiva también puede
verse afectada por otros factores, como pulsaciones excitadas por modos
extraños o la presencia de una compañera. Por ello, en este trabajo se
analizaron curvas de luz de una muestra de BSGs con relación
$Log(L/M)>4$, para determinar sus periodos y cuasi-periodos. Se
estudiaron los modos radiales de pulsación en base a un modelo lineal no
adiabático, a fin de estimar una masa teórica para estas estrellas y
abordar la discrepancia de masas. También se discute el posible estado
evolutivo de la muestra y se evidencia la diferencia en las abundancias
superficiales de CNO.","{'key_000': 'stars: evolution', 'key_001': 'stars: binaries: general', 'key_002': 'stars: variables: general'}",,12,1
2214,Spanish,Presentación oral,SE. Sistemas Estelares,"An\'alisis en multifrecuencia de los c\'umulos BH\,205 y Ruprecht\,102 y de su medio interestelar","{'name_000': 'L.', 'surname_000': 'Rizzo', 'name_001': 'M.A.', 'surname_001': 'Corti', 'name_002': 'L.G.', 'surname_002': ""Pa\\'iz""}","Las poblaciones estelares j\'ovenes constituyen c\'umulos abiertos (CA)
y asociaciones OB. Ellos son algunos de los trazadores de la estructura
espiral del plano de la V\'ia L\'actea y su estudio proporciona
informaci\'on para mejorar nuestro conocimiento de la estructura radial
y espiral del disco. Con ese objetivo, se presentar\'an aqu\'i 2 CA que
por sus sub-estructuras con diferentes edades, ubicadas todas en
regiones de extinsi\'on visual variable, los convierte en evidencias muy
confiables de formaci\'on estelar. Empleando datos fotom\'etricos y
astrom\'etricos del cat\'alogo {\it GAIA} DR3, fotometr\'ia IR cercana y
mediana y datos en l\'inea y continuo de radio, hemos investigado los
posibles miembros de las sub-estructuras del CA BH205 ($\alpha$ = 254.3,
$\delta$ = -40.6) ubicado al sur de la RHII G345+1.5 y del CA Ruprecht
102 ($\alpha$ = 183.4, $\delta$ = -62.7) . Los resultados obtenidos del
an\'alisis efectuado a los datos del cat\'alogo {\it GAIA} DR3 con el
empleo del c\'odigo HDBSCAN y las isocronas de PARSEC, permitieron
mejorar la identificaci\'on de los posibles miembros de ambos CA. Luego,
las caracter\'isticas de sus miembros pudieron conocerse con mayor
detalle incorporando el an\'alisis de fotometr\'ia IR. Finalmente,
sumando a ese an\'alisis, el estudio en diferentes frecuencias de radio
del medio interestelar en el que se encuentran, pudo obtenerse
informaci\'on sobre sectores del brazo Carina-Sagitario del cuarto
cuadrante gal\'actico.","{'key_000': 'stars: individual (Ruprecht,102, BH,205)', 'key_001': 'stars: formation', 'key_002': 'HII regions', 'key_003': 'open clusters and associations: general'}",,6,1
2116,Spanish,Presentación oral,OCPAE. Objetos Compactos y Procesos de Altas Energ\'ias,Bethe-Heitler mechanism in ultraluminous X-ray sources,"{'name_000': 'L.M.', 'surname_000': 'Pasquevich', 'name_001': 'G.E.', 'surname_001': 'Romero', 'name_002': 'L.', 'surname_002': 'Abaroa'}","Ultraluminous X-ray sources (ULXs) are binary systems where the observed
X-ray luminosity exceeds the Eddington limit for a compact stellar-mass
object. In these systems, the companion star overflows its Roche lobe,
feeding matter to the black hole at super-Eddington rates. The radiation
pressure inflates the accretion disk in the inner region within the
critical radius, where powerful radiation-driven winds are ejected. The
walls of the wind form a low-density conical funnel along the z-axis,
where the radiation from the innermost region of the disk is
geometrically beamed and reaches the observer. We show that in this
region the X-ray photon field from the disk and UV photons from the
opaque wind interact with relativistic protons injected into the funnel
producing electron-positron pairs via the Bethe-Heitler mechanism, $p +
\gamma \Longrightarrow p + e^{-} + e^{+}$. In this talk, we will present
a model of the effects of the Bethe-Heitler mechanism within the funnels
of ULXs and the subsequent non-thermal MeV emission produced by the
secondary pairs as they interact with ambient fields. Our results
provide new insights into the high-energy processes occurring in these
systems.","{'key_000': 'radiation mechanisms: non-thermal', 'key_001': 'astroparticle physics', 'key_002': 'X-rays: binaries'}",,6,1
2184,Spanish,Presentación oral,AE. Astrof\'isica Estelar,B\'usqueda de tr\'ansitos planetarios en curvas de luz TESS de enanas blancas con discos de polvo,"{'name_000': 'L.', 'surname_000': 'Saker', 'name_001': 'R.', 'surname_001': 'Petrucci', 'name_002': 'E.', 'surname_002': ""Jofr\\'e""}","Las enanas blancas son los remanentes estelares más comunes en nuestra
Galaxia, ya que se estima que aproximadamente el 97\% de las estrellas
terminan su vida como estos objetos. Por otro lado, entre el 1-3\% de
las enanas blancas muestran un exceso infrarrojo producido por un disco
de polvo circunestelar, que está siendo acretado por la estrella. Estos
discos de polvo son el resultado de la destrucción por efecto de mareas
de cuerpos rocosos que originalmente formaron un sistema planetario.
Dicho disco se considera evidencia indirecta de la presencia de un
sistema planetario que ha sobrevivido a la evolución de la estrella. En
esta contribución presentamos resultados preliminares de un análisis
fotométrico con datos de la misión espacial TESS de una muestra de
enanas blancas con discos de polvo, con el fin de detectar posibles
eventos de tránsitos de cuerpos rocosos que hayan sobrevivido a la
evolución de la estrella.","{'key_000': 'white dwarfs', 'key_001': 'planets and satellites: detection', 'key_002': 'techniques: photometric'}",,6,1
2178,Spanish,Presentación oral,AEC. Astrof\'isica Extragal\'actica y Cosmolog\'ia,B\'usqueda del impacto de perturbaciones gravitacionales en sistemas de galaxias emisoras de Lyman-Alpha,"{'name_000': 'M.C.', 'surname_000': 'Cerdosino', 'name_001': 'N.D.', 'surname_001': 'Padilla', 'name_002': 'A.L.', 'surname_002': ""O'Mill""}","Las galaxias emisoras de Lyman-Alpha (LAEs) son generalmente jóvenes, de
baja masa y formadoras de estrellas, caracterizadas por su prominente
emisión de Lyman-Alpha. Cuando esta emisión ocurre a corrimientos al
rojo mayores a aproximadamente 2, se desplaza hacia la ventana óptica,
permitiendo su detección mediante observaciones terrestres. En este
estudio, utilizamos los primeros datos del One-hundred-deg$^2$ DECam
Imaging in Narrowbands (ODIN) survey, el relevamiento de filtros de
banda angosta más grande hasta la fecha, el cual utiliza tres filtros de
banda estrecha para descubrir LAEs en tres períodos igualmente
espaciados en la historia cosmológica. En esta presentación, mostramos
los primeros resultados del uso de sistemas de LAEs como proxy de la
masa del halo anfitrión, en donde investigamos la relación entre la masa
del halo y la luminosidad de Lyman-Alpha, entre otras, en concordancia
con observaciones y modelos previos. El objetivo final es investigar si
las perturbaciones gravitacionales entre LAEs en sistemas múltiples son
suficientes para explicar los cambios en sus propiedades, o si es más
probable que otro satélite no detectado esté causando la perturbación.","{'key_000': 'galaxies: high-redshift', 'key_001': 'galaxies: halos', 'key_002': 'galaxies: groups: general'}",,6,1
2302,Spanish,Presentación oral,SE. Sistemas Estelares,C\'alculo de Isocronas para el estudio de la metalicidad del plano gal\'actico,"{'name_000': 'C.', 'surname_000': ""Damia Rinc\\'on"", 'name_001': 'J.A.', 'surname_001': 'Panei', 'name_002': 'M.A.', 'surname_002': 'Corti'}","El presente trabajo tiene como objetivo el c\'alculo de isocronas a
partir de secuencias evolutivas en un amplio rango de masas y diferentes
metalicidades para luego, tener una estimaci\'on de la metalicidad
presente en el plano de la V\'ia L\'actea. Para ello, las isocronas son
transformadas para el an\'alisis de datos fotom\'etricos de posibles
miembros de c\'umulos abiertos del plano gal\'actico, obtenidos del
Telescopio Espacial {\it Gaia}. Aqu\'i, presentaremos el resultado del
trabajo efectuado en al menos un c\'umulo abierto de cada uno de los
cuatro cuadrantes de la Galaxia, de los varios c\'umulos que ser\'an
estudiados en un futuro pr\'oximo. Para ello y para tener un mayor
conocimiento de los par\'ametros f\'isicos de las estrellas miembros,
seleccionamos datos astrom\'etricos, fotom\'etricos y/o
espectrosc\'opicos de los cat\'alogos {\it Gaia, 2MASS} y {\it LAMOST}.","{'key_000': 'Hertzsprung-Russell and C-M diagrams', 'key_001': 'catalogs', 'key_002': 'open clusters and associations: general'}",,6,1
2099,Spanish,Presentación oral,AE. Astrof\'isica Estelar,Ciclos de actividad en estrellas de tipo solar,"{'name_000': 'P.D.', 'surname_000': 'Colombo', 'name_001': 'A.P.', 'surname_001': 'Buccino', 'name_002': 'C.G.', 'surname_002': 'Oviedo', 'name_003': 'R.', 'surname_003': 'Iba\\~nez Bustos', 'name_004': 'C.F.', 'surname_004': 'Martinez', 'name_005': 'P.', 'surname_005': 'Mauas'}","En esta última década, los diagramas que relacionan la longitud de los
ciclos de actividad con el período de rotación en estrellas de tipo
solar han puesto en discusión una serie de puntos. Por un lado, surge el
interrogante de qué tipo de dinamo pudiese estar operando en aquellas
estrellas que presentan dos ciclos de actividad coexistentes. Por el
otro, se plantea que la posición atípica del ciclo solar en estos
diagramas podría indicar que el dinamo solar se encuentre en transición.
Finalmente, se encontró que estrellas con períodos de rotación entre 23
y 30 días no fueron reportadas como cíclicas, ya sea porque muchas de
ellas presentan actividad constante o irregular. En este trabajo se
realiza un estudio de actividad estelar de largo plazo en una muestra de
estrellas de tipo solar del hemisferio sur, con el fin de aumentar la
estadística de ciclos estelares en enanas FGK con períodos de rotación
menores a 70 días, enfatizando en períodos cortos (en búsqueda de dobles
ciclos) y períodos similares al solar. Para este estudio se utilizan,
principalmente, espectros de alta resolución obtenidos de la base
pública del espectrógrafo HARPS y con el espectrógrafo REOSC en CASLEO
en el marco del Proyecto HK$\alpha$.","{'key_000': 'stars: activity', 'key_001': 'stars: rotation', 'key_002': 'stars: solar-type'}",,12,1
2264,Spanish,Presentación oral,OCPAE. Objetos Compactos y Procesos de Altas Energ\'ias,Classifying X-ray binaries using only X-ray data,"{'name_000': 'M.B.', 'surname_000': 'Badaracco', 'name_001': 'L.', 'surname_001': 'Bignone', 'name_002': 'L.J.', 'surname_002': 'Pellizza', 'name_003': 'G.J.', 'surname_003': 'Escobar', 'name_004': 'J.F.', 'surname_004': 'Albacete-Colombo', 'name_005': 'S.E.', 'surname_005': 'Pedrosa'}","The properties of the first generations of stars formed at the Cosmic
Dawn, and their influence on the subsequent evolution of galaxies are
fundamental research topics in extragalactic astrophysics. Several
authors have suggested that high-mass X-ray binaries (HMXB) may have
contributed significantly to the energy feedback into their environment
at that epoch, participating in the regulation of the cosmic star
formation and the ionization state of the intergalactic medium. The
determination of the properties of HMXB in the Early Universe is
therefore important. This can be done by exploring HMXB populations in
low-metallicity galaxies at redshift zero, which are assumed to be the
local analogs of those prevailing at the Cosmic Dawn. Identifying HMXB
in nearby galaxies usually relies on finding positionally coincident
higher-wavelength counterparts, to distinguish them from other types of
sources (especially low-mass X-ray binaries). This is limited to the
nearest galaxies, due to source confusion. To overcome this problem, we
apply machine-learning techniques to identify HMXB using only data from
the Chandra X-ray Observatory, and recent catalogs of Galactic X-ray
binaries. In this talk I will show that hardness ratios and spectral
model-fitting parameters are the variables that better discern HMXB from
other objects, allowing us to create catalogs of these sources with low
contamination.","{'key_000': 'catalogs', 'key_001': 'methods: observational', 'key_002': 'X-rays: binaries'}",,12,1
